date,value,metric,source
2010-06-30,122551.281396,total_occupied_beds_overnight,NHS England KH03
2010-09-30,119298.215581,total_occupied_beds_overnight,NHS England KH03
2010-12-31,121496.947069,total_occupied_beds_overnight,NHS England KH03
2011-03-31,123278.987765,total_occupied_beds_overnight,NHS England KH03
2011-06-30,116452.287424,total_occupied_beds_overnight,NHS England KH03
2011-09-30,116372.291998,total_occupied_beds_overnight,NHS England KH03
2011-12-31,117708.279849,total_occupied_beds_overnight,NHS England KH03
2012-03-31,122104.779217,total_occupied_beds_overnight,NHS England KH03
2012-06-30,118063.637501,total_occupied_beds_overnight,NHS England KH03
2012-09-30,115730.181975,total_occupied_beds_overnight,NHS England KH03
2012-12-31,116974.327951,total_occupied_beds_overnight,NHS England KH03
2013-03-31,121108.42551,total_occupied_beds_overnight,NHS England KH03
2013-06-30,118055.655455,total_occupied_beds_overnight,NHS England KH03
2013-09-30,115145.628835,total_occupied_beds_overnight,NHS England KH03
2013-12-31,116487.794852,total_occupied_beds_overnight,NHS England KH03
2014-03-31,119662.711372,total_occupied_beds_overnight,NHS England KH03
2014-06-30,117510.31881,total_occupied_beds_overnight,NHS England KH03
2014-09-30,116300.428914,total_occupied_beds_overnight,NHS England KH03
2014-12-31,117827.082475,total_occupied_beds_overnight,NHS England KH03
2015-03-31,121201.99053,total_occupied_beds_overnight,NHS England KH03
2015-06-30,114509.432914,total_occupied_beds_overnight,NHS England KH03
2015-09-30,112009.508743,total_occupied_beds_overnight,NHS England KH03
2015-12-31,113668.100038,total_occupied_beds_overnight,NHS England KH03
2016-03-31,117125.152705,total_occupied_beds_overnight,NHS England KH03
2016-06-30,115842.215354,total_occupied_beds_overnight,NHS England KH03
2016-09-30,113798.445676,total_occupied_beds_overnight,NHS England KH03
2016-12-31,114438.397869,total_occupied_beds_overnight,NHS England KH03
2017-03-31,116545.05554,total_occupied_beds_overnight,NHS England KH03
2017-06-30,113618.172484,total_occupied_beds_overnight,NHS England KH03
2017-09-30,111687.779826,total_occupied_beds_overnight,NHS England KH03
2017-12-31,113328.412004,total_occupied_beds_overnight,NHS England KH03
2018-03-31,117143.99995699999,total_occupied_beds_overnight,NHS England KH03
2018-06-30,112886.98898,total_occupied_beds_overnight,NHS England KH03
2018-09-30,111004.141303,total_occupied_beds_overnight,NHS England KH03
2018-12-31,112208.597871,total_occupied_beds_overnight,NHS England KH03
2019-03-31,115874.36664000001,total_occupied_beds_overnight,NHS England KH03
2019-06-30,113261.846098,total_occupied_beds_overnight,NHS England KH03
2019-09-30,111938.065227,total_occupied_beds_overnight,NHS England KH03
2019-12-31,114757.18482,total_occupied_beds_overnight,NHS England KH03
2020-03-31,111321.280756,total_occupied_beds_overnight,NHS England KH03
2020-06-30,76641.153785,total_occupied_beds_overnight,NHS England KH03
2020-09-30,93090.61960600001,total_occupied_beds_overnight,NHS England KH03
2020-12-31,98597.184808,total_occupied_beds_overnight,NHS England KH03
2021-03-31,98927.255525,total_occupied_beds_overnight,NHS England KH03
2021-06-30,103804.065869,total_occupied_beds_overnight,NHS England KH03
2021-09-30,107068.706563,total_occupied_beds_overnight,NHS England KH03
2021-12-31,109451.086996,total_occupied_beds_overnight,NHS England KH03
2022-03-31,111943.57773,total_occupied_beds_overnight,NHS England KH03
2022-06-30,113735.714235,total_occupied_beds_overnight,NHS England KH03
2022-09-30,113513.673946,total_occupied_beds_overnight,NHS England KH03
2022-12-31,116499.858735,total_occupied_beds_overnight,NHS England KH03
2023-03-31,117597.533309,total_occupied_beds_overnight,NHS England KH03
2023-06-30,115238.637294,total_occupied_beds_overnight,NHS England KH03
2023-09-30,113493.076134,total_occupied_beds_overnight,NHS England KH03
2023-12-31,116831.500051,total_occupied_beds_overnight,NHS England KH03
2024-03-31,119634.891405,total_occupied_beds_overnight,NHS England KH03
2024-06-30,117314.868073,total_occupied_beds_overnight,NHS England KH03
