metric_key,n_obs,longest_horizon_tested,production_spec,n_folds,rmse,mae,bias,dir_acc,ci_coverage,ljung_box,jarque_bera,arch_heteroskedasticity,residual_fit_status
RTT waiting list (level),76,12,"PRODUCTION (1, 1, 1)x(0, 1, 1, 4) c, exog=none",58,3035692.184197433,2175809.4607794657,1504064.698221806,0.9310344827586207,0.7068965517241379,FLAG,FLAG,FLAG,OK
A&E attendances (flow),64,12,"PRODUCTION (0, 1, 1)x(0, 0, 0, 4) c, exog=none",46,1505951.6377029992,1205297.3337079966,730690.4951217386,0.717391304347826,0.8695652173913043,OK,FLAG,OK,OK
Workforce FTE (level),67,12,"PRODUCTION (1, 1, 1)x(0, 1, 1, 4) c, exog=['covid_pulse', 'post_covid_trend_break']",49,93351.85315066268,64730.391980979875,-40388.46459654519,0.8163265306122449,0.7346938775510204,FLAG,FLAG,FLAG,OK
Bed occupancy (level),57,12,"PRODUCTION (1, 1, 1)x(0, 1, 1, 4) c, exog=['covid_pulse', 'post_covid_regime']",39,79030.60076743897,33114.3645016868,7349.504631520188,0.358974358974359,0.5128205128205128,FLAG,FLAG,FLAG,OK
PESA Health spend (level),77,12,"PRODUCTION (0, 1, 0)x(0, 0, 1, 4) n, exog=none",59,30.379096387769962,21.14606834501696,-10.185487479332837,0.576271186440678,0.864406779661017,OK,FLAG,OK,OK
RTT % within 18 weeks (performance),76,12,"PRODUCTION (1, 0, 0)x(0, 0, 0, 4) c, exog=none",58,0.12310283240089406,0.0913457164312756,0.04324518515544174,0.6379310344827587,0.7931034482758621,OK,FLAG,FLAG,OK
A&E 12-hour decisions to admit (breach flow),22,12,"PRODUCTION (1, 0, 1)x(0, 1, 1, 4) c, exog=none",4,353570.6255904518,296277.68043099385,296277.68043099385,1.0,0.0,OK,OK,OK,OK
GP total appointments (flow),11,3,"PRODUCTION (1, 0, 0)x(0, 0, 0, 4) n, exog=none",3,30684792.819690973,24550739.221254814,9162611.544338018,0.3333333333333333,0.6666666666666666,OK,OK,N/A,OK
GP face-to-face appointments (flow),11,3,"PRODUCTION (1, 0, 0)x(0, 0, 0, 4) c, exog=none",3,20244165.566023517,14294179.960946346,8656552.805436498,0.6666666666666666,0.6666666666666666,OK,FLAG,N/A,OK
GP telephone appointments (flow),11,3,"PRODUCTION (1, 0, 0)x(0, 0, 0, 4) c, exog=none",3,8083538.832453351,5327130.837856929,3956266.954383639,1.0,0.6666666666666666,OK,FLAG,N/A,OK
